Customer_ID,Name,Age,Gender,Location,Total_Spent,Age_Group
0583d6,Kevin Hanna,22,Female,Los Angeles,4179,18-25
4c0f1b,Marisa Sullivan,60,Other,Los Angeles,1683,50+
00b49a,Shawn Gonzales,45,Female,Houston,358,36-50
e093b6,Charles Mejia,68,Male,New York,1541,50+
7c817c,Kimberly Francis,43,Female,Los Angeles,2911,36-50
aaeb81,Jenna Carroll,26,Female,Chicago,3106,26-35
b1a4f4,Angela Gomez,66,Other,Chicago,745,50+
4ddebc,Frank Krueger,21,Male,Chicago,4482,18-25
8215fb,Amanda Mitchell,39,Other,Houston,2082,36-50
deb177,Christopher Austin,36,Male,Chicago,3357,36-50
59fe4a,Cynthia Guzman,26,Other,New York,4606,26-35
f59c2a,John Miller,28,Other,New York,4512,26-35
f415cd,Tiffany Robinson,68,Female,New York,526,50+
0a16fe,Kristen Phillips,68,Male,Los Angeles,2852,50+
c5940a,Robin Ford,53,Male,New York,654,50+
0ae342,Maureen Smith,30,Male,Los Angeles,3066,26-35
c984e3,Joe Stanley,18,Other,New York,941,
197942,Courtney Padilla,27,Male,Miami,4384,26-35
e15d65,Joseph Rosales,27,Male,New York,657,26-35
2a6646,Joshua Donovan,41,Female,New York,3744,36-50
96ff57,Charles Ruiz,43,Male,Chicago,3216,36-50
38d9b9,Cheryl Russell,36,Male,Chicago,661,36-50
9a1148,Mark Hoffman,41,Female,Miami,2738,36-50
5d31de,Cynthia Campbell,55,Male,Los Angeles,770,50+
780364,Oscar Walton,69,Female,New York,4113,50+
4700d8,Pamela Underwood,45,Female,Chicago,1182,36-50
cb2083,Samuel Wang,44,Female,Chicago,3441,36-50
d5fa58,Chelsea Foster,63,Female,Los Angeles,932,50+
7c9826,Andrew Rogers,35,Other,New York,2240,26-35
a82434,Clifford Smith,23,Male,New York,1704,18-25
446290,Terry Smith,20,Male,Miami,3896,18-25
85ae39,Rebecca Hughes,54,Other,Houston,129,50+
e0053e,Martin Davis,63,Male,New York,2249,50+
7b91fc,Todd Woodard,65,Other,Chicago,2439,50+
55721d,Tammy Silva,30,Male,Los Angeles,1320,26-35
5f7b2e,Christopher Nichols,49,Other,Los Angeles,838,36-50
e3dbd3,Brian Davis,68,Male,New York,2042,50+
6d82aa,Jose Martin,67,Other,Chicago,1753,50+
c768fe,Heather Jordan,52,Female,Chicago,3176,50+
54fab6,Kristopher Jackson,59,Male,Chicago,1901,50+
cef8e5,Eric Wright,57,Male,Chicago,130,50+
ae70df,Ashley Smith,32,Other,New York,1126,26-35
83e133,Theresa Matthews,45,Female,Houston,987,36-50
bfb7c7,Annette Hoffman,54,Female,Houston,3527,50+
aaf3d9,Austin Jones,23,Female,Miami,3030,18-25
346072,Daniel Johnson,36,Male,Houston,1470,36-50
7f03a0,Ronald Simpson,44,Other,Houston,4258,36-50
db7a6a,Michael Parsons,20,Other,New York,1907,18-25
e5c33e,Sherry Haynes,18,Male,Chicago,2072,
e948d6,Andrew Schaefer,67,Male,Chicago,4292,50+
292f84,Peggy Martin,19,Other,Chicago,1083,18-25
da21ea,Bruce Hughes,69,Female,Houston,4390,50+
83722d,William Frazier,36,Male,Miami,4245,36-50
206687,Jacob Mcmillan,69,Other,Chicago,2769,50+
a3633d,Tina Horne,30,Other,Miami,3484,26-35
